moscow_cloudcover_mean,moscow_windspeed_10m_max,moscow_precipitation_sum,moscow_weathercode,date,tver_cloudcover_mean,tver_windspeed_10m_max,tver_precipitation_sum,tver_weathercode,saratov_cloudcover_mean,saratov_windspeed_10m_max,saratov_precipitation_sum,saratov_weathercode,krasnodar_cloudcover_mean,krasnodar_windspeed_10m_max,krasnodar_precipitation_sum,krasnodar_weathercode,crimea_cloudcover_mean,crimea_windspeed_10m_max,crimea_precipitation_sum,crimea_weathercode,avg_cloud,avg_wind,avg_precip
0,9.2,0.0,0,2024-09-08,4,9.8,0.0,3,1,11.1,0.0,0,59,27.8,0.0,3,89,26.9,0.0,3,30.6,16.96,0.0
50,14.1,0.0,3,2024-09-09,23,11.6,0.0,3,90,12.7,0.0,3,58,17.7,0.5,51,38,10.7,1.1,53,51.8,13.36,0.32
48,20.8,0.1,51,2024-09-10,20,16.6,0.0,3,84,22.4,0.0,3,53,9.4,0.0,3,69,12.4,0.0,3,54.8,16.32,0.02
36,20.5,0.0,3,2024-09-11,59,16.9,0.0,3,58,22.1,0.0,3,37,15.9,0.0,3,49,18.6,0.0,3,47.8,18.8,0.0
89,23.0,0.0,3,2024-09-12,96,18.3,0.3,51,64,21.7,0.0,3,6,13.0,0.1,51,59,14.2,1.1,51,62.8,18.04,0.3
59,26.8,0.0,3,2024-09-13,79,22.0,0.0,3,36,21.2,0.0,3,43,19.0,5.5,63,19,15.2,0.0,3,47.2,20.84,1.1
54,19.4,0.0,3,2024-09-14,72,16.8,0.0,3,0,16.0,0.0,0,4,31.5,0.0,2,27,9.7,0.0,3,31.4,18.68,0.0
44,16.3,0.0,3,2024-09-15,37,15.3,0.0,3,3,18.2,0.0,1,18,36.6,0.0,3,73,21.3,0.0,3,35.0,21.54,0.0
6,14.6,0.0,1,2024-09-16,9,11.0,0.0,1,16,20.9,0.0,2,82,36.6,0.0,3,100,16.9,5.2,63,42.6,20.0,1.04
7,10.8,0.0,3,2024-09-17,16,9.6,0.0,2,13,23.6,0.0,3,96,29.8,25.6,63,67,24.4,0.0,3,39.8,19.639999999999997,5.12
0,10.9,0.0,0,2024-09-18,11,10.5,0.0,3,2,15.0,0.0,1,79,26.3,0.0,3,52,18.8,0.1,51,28.8,16.3,0.02
78,19.1,0.0,3,2024-09-19,89,15.5,0.0,3,19,9.9,0.0,3,45,26.9,0.0,3,36,27.5,0.0,3,53.4,19.78,0.0
53,13.9,0.0,3,2024-09-20,28,13.5,0.0,3,54,16.3,0.0,3,85,24.8,0.0,3,6,29.3,0.0,1,45.2,19.56,0.0
67,20.9,0.0,3,2024-09-21,59,20.1,0.0,3,39,17.7,0.0,3,38,26.5,0.0,3,7,24.3,0.0,3,42.0,21.9,0.0
2,13.8,0.0,0,2024-09-22,13,12.6,0.0,3,2,17.5,0.0,0,28,18.9,0.0,3,35,28.1,0.0,3,16.0,18.18,0.0
17,9.6,0.0,3,2024-09-23,40,8.7,0.0,3,35,11.5,0.0,3,83,21.8,1.1,53,85,26.3,0.0,3,52.0,15.579999999999998,0.22000000000000003
61,17.0,0.0,3,2024-09-24,75,14.8,0.0,3,58,13.6,0.0,3,47,18.7,0.0,3,19,21.8,0.0,3,52.0,17.18,0.0
32,20.2,0.0,3,2024-09-25,25,21.0,0.0,3,2,11.2,0.0,1,8,18.7,0.0,2,16,14.5,0.0,3,16.6,17.12,0.0
97,24.0,0.0,3,2024-09-26,90,25.6,0.0,3,1,11.4,0.0,1,47,22.2,0.0,3,66,9.5,0.0,3,60.2,18.54,0.0
90,35.3,4.4,61,2024-09-27,100,30.9,17.3,63,10,18.8,0.0,3,26,11.7,0.0,3,8,16.4,0.0,3,46.8,22.619999999999997,4.340000000000001
92,32.6,4.0,61,2024-09-28,94,28.5,4.8,61,33,24.0,0.0,3,0,20.3,0.0,0,0,15.6,0.0,0,43.8,24.199999999999996,1.7600000000000002
99,23.0,4.9,63,2024-09-29,100,13.0,3.9,55,30,19.2,0.0,3,1,21.2,0.0,0,9,16.2,0.0,3,47.8,18.520000000000003,1.7600000000000002
100,23.3,0.0,3,2024-09-30,100,16.9,0.2,51,12,19.9,0.0,3,5,13.4,0.0,3,44,16.9,0.2,51,52.2,18.080000000000002,0.08
18,23.1,0.0,3,2024-10-01,65,21.9,0.0,3,5,21.3,0.0,2,77,17.8,8.4,61,83,11.4,6.4,61,49.6,19.1,2.96
45,16.2,0.0,3,2024-10-02,60,15.1,0.0,3,12,19.9,0.0,2,100,16.2,5.8,55,43,11.2,0.3,51,52.0,15.719999999999999,1.22
38,13.4,0.0,3,2024-10-03,85,13.4,0.0,3,34,12.7,0.0,3,23,12.7,0.0,3,30,12.3,0.3,51,42.0,12.9,0.06
100,16.2,9.5,61,2024-10-04,92,14.8,5.4,61,33,9.9,0.0,3,15,10.7,0.0,3,58,15.8,0.0,3,59.6,13.479999999999999,2.98
99,11.8,0.2,51,2024-10-05,69,13.8,0.2,51,96,11.4,0.0,3,0,10.7,0.0,0,12,15.1,0.0,3,55.2,12.56,0.08
90,19.7,8.7,61,2024-10-06,83,13.5,1.4,53,74,11.1,0.0,3,4,11.4,0.0,1,49,15.7,0.0,3,60.0,14.280000000000001,2.02
100,20.9,11.6,63,2024-10-07,100,15.3,9.8,63,58,22.2,0.0,3,26,19.7,0.0,3,69,27.9,4.2,61,70.6,21.2,5.119999999999999
100,19.4,9.8,61,2024-10-08,100,20.9,18.0,61,50,19.0,0.0,3,14,15.9,0.1,51,54,21.6,0.6,51,63.6,19.360000000000003,5.700000000000001
100,14.4,1.3,53,2024-10-09,100,14.9,0.3,51,70,17.4,0.8,53,36,15.1,0.0,3,43,12.8,0.0,3,69.8,14.920000000000002,0.4800000000000001
100,18.7,0.0,3,2024-10-10,100,21.4,0.0,3,53,17.7,0.0,3,83,8.8,0.0,3,73,16.3,2.1,55,81.8,16.58,0.42000000000000004
